Country,Applied; APEDA Certified,Certified,Revoked,Surrendered,Suspended,All
All Countries,1127,40807,100,14389,4149,60572
Afghanistan,0,0,0,2,3,5
Albania,0,12,0,5,7,24
Algeria,0,13,0,3,3,19
Argentina,0,1384,1,705,13,2103
Armenia,0,23,0,14,9,46
Australia,0,511,0,82,5,598
Austria,0,7,0,1,0,8
Azerbaijan,0,6,0,0,1,7
Bahamas (The),0,2,0,0,0,2
Bahrain,0,1,0,0,0,1
Bangladesh,0,1,0,0,0,1
Belarus,0,6,0,1,1,8
Belgium,0,18,0,9,1,28
Belize,0,5,0,4,1,10
Benin,0,13,0,2,0,15
Bermuda,0,0,0,1,0,1
Bolivia (Plurinational State of),0,268,0,128,5,401
Bosnia and Herzegovina,0,20,0,7,7,34
Botswana,0,1,0,0,0,1
Brazil,0,710,0,197,115,1022
Bulgaria,0,48,0,43,3,94
Burkina Faso,0,51,0,11,3,65
Burundi,0,2,0,0,0,2
Cambodia,0,55,0,13,0,68
Cameroon,0,5,0,2,0,7
Canada,0,103,0,39,7,149
Cayman Islands (The),0,2,0,0,0,2
Chad,0,4,0,1,0,5
Chile,0,862,3,502,198,1565
China,0,1576,18,776,110,2480
Colombia,0,405,1,115,34,555
Comoros (The),0,3,0,0,1,4
Congo (The Democratic Republic of The),0,17,0,1,3,21
Costa Rica,0,97,0,42,19,158
Croatia,0,0,0,2,0,2
Cuba,0,3,0,1,6,10
Czech Republic (The),0,2,0,2,0,4
C̫te d'Ivoire,0,32,0,6,1,39
Dominican Republic (The),0,183,3,75,62,323
Ecuador,0,766,16,249,156,1187
Egypt,0,107,2,56,8,173
El Salvador,0,14,0,1,1,16
Estonia,0,0,0,1,0,1
Ethiopia,0,191,2,157,19,369
Fiji,0,8,0,4,0,12
France,0,47,0,13,4,64
French Polynesia,0,11,0,3,2,16
Gambia (The),0,0,0,0,1,1
Georgia,0,4,0,3,0,7
Germany,0,80,0,24,1,105
Ghana,0,54,0,14,4,72
Greece,0,21,0,7,0,28
Grenada,0,8,0,2,2,12
Guatemala,0,143,1,18,10,172
Guinea,0,2,0,0,0,2
Guinea-Bissau,0,1,0,0,0,1
Guyana,0,1,0,0,0,1
Haiti,0,5,0,0,3,8
Honduras,0,137,0,79,1,217
Hong Kong,0,7,0,8,0,15
Iceland,0,2,0,1,0,3
India,1127,822,0,89,11,2049
Indonesia,0,198,0,68,28,294
Iran (Islamic Republic of),0,23,0,27,4,54
Ireland,0,1,0,0,0,1
Israel,0,48,0,24,0,72
Italy,0,179,0,148,19,346
Jamaica,0,4,0,15,6,25
Japan,0,113,0,19,0,132
Jordan,0,7,0,1,1,9
Kazakhstan,0,5,2,17,13,37
Kenya,0,29,0,11,1,41
Korea (The Democratic People's Republic of),0,2,0,0,0,2
Korea (The Republic of),0,127,0,51,3,181
Kuwait,0,0,0,1,0,1
Kyrgyzstan,0,7,0,14,6,27
Lao People's Democratic Republic (The),0,16,0,0,2,18
Latvia,0,6,0,1,0,7
Lebanon,0,5,0,0,0,5
Lesotho,0,3,0,1,1,5
Lithuania,0,0,0,2,0,2
Madagascar,0,137,0,39,11,187
Malawi,0,3,0,2,0,5
Malaysia,0,15,0,3,2,20
Maldives,0,0,0,1,0,1
Mali,0,8,0,2,1,11
Mauritius,0,10,0,1,0,11
Mexico,0,2482,0,709,394,3585
Moldova (The Republic of),0,4,1,6,9,20
Monaco,0,2,0,0,0,2
Montenegro,0,0,0,1,0,1
Morocco,0,201,1,42,51,295
Mozambique,0,8,0,1,0,9
Myanmar,0,10,0,13,0,23
Namibia,0,13,0,7,0,20
NeTherlands (The),0,84,0,58,9,151
Nepal,0,63,0,31,8,102
New Caledonia,0,2,0,0,0,2
Nicaragua,0,90,0,31,10,131
Niger (The),0,1,0,1,0,2
Nigeria,0,22,0,6,0,28
Norway,0,0,0,1,0,1
Oman,0,0,0,1,0,1
Pakistan,0,52,0,19,3,74
"Palestine, State of",0,2,0,1,0,3
Panama,0,6,0,6,1,13
Papua New Guinea,0,17,0,3,0,20
Paraguay,0,104,0,64,14,182
Peru,0,1180,2,629,201,2012
Philippines (The),0,125,0,47,8,180
Poland,0,2,0,1,0,3
Portugal,0,2,0,2,0,4
Puerto Rico,0,2,0,0,0,2
Qatar,0,1,0,0,0,1
Romania,0,3,0,1,1,5
Russian Federation (The),0,58,3,52,17,130
Rwanda,0,21,0,8,0,29
Saint Lucia,0,1,0,0,0,1
Samoa,0,5,0,0,0,5
Sao Tome and Principe,0,1,0,1,0,2
Saudi Arabia,0,2,0,7,0,9
Senegal,0,5,0,3,2,10
Serbia,0,47,0,30,3,80
Seychelles,0,0,0,1,0,1
Sierra Leone,0,11,0,3,0,14
Singapore,0,24,0,12,4,40
Solomon Islands,0,1,0,0,0,1
Somalia,0,3,0,3,0,6
South Africa,0,214,0,78,8,300
Spain,0,83,0,35,4,122
Sri Lanka,0,285,0,68,4,357
Sudan (The),0,10,0,2,2,14
Swaziland,0,3,0,0,0,3
Sweden,0,0,0,0,1,1
Switzerland,0,12,0,1,0,13
Taiwan (Province of China),0,32,0,14,4,50
Tajikistan,0,2,0,2,0,4
"Tanzania, United Republic of",0,33,0,15,3,51
Thailand,0,304,1,185,32,522
The Republic of North Macedonia,0,2,0,5,0,7
Timor-Leste,0,4,0,0,0,4
Togo,0,45,0,7,0,52
Tonga,0,0,0,1,0,1
Trinidad and Tobago,0,7,0,1,0,8
Tunisia,0,401,6,117,63,587
Turkey,0,832,5,507,88,1432
Uganda,0,101,0,35,4,140
Ukraine,0,71,7,49,9,136
United Arab Emirates (The),0,20,1,19,5,45
United Kingdom of Great Britain and NorThern Ireland (The),0,9,0,2,0,11
United States Minor Outlying Islands (The),0,1,0,0,1,2
United States of America (The),0,23603,20,7333,2222,33178
Uruguay,0,53,0,26,5,84
Uzbekistan,0,25,3,17,5,50
Vanuatu,0,4,0,2,0,6
Venezuela (Bolivarian Republic of),0,0,0,2,0,2
Viet Nam,0,150,1,87,15,253
Virgin Islands (U.S.),0,1,0,1,0,2
Zambia,0,6,0,5,0,11
Zimbabwe,0,9,0,3,0,12
